title,year,listed_in,country,weighted_average_vote,weighted_allgenders_0age,weighted_allgenders_18age,weighted_allgenders_30age,weighted_allgenders_45age,weighted_males_allages,weighted_males_0age,weighted_males_18age,weighted_males_30age,weighted_males_45age,weighted_females_allages,weighted_females_0age,weighted_females_18age,weighted_females_30age,weighted_females_45age
23:59,2011,"Horror Movies, International Movies",Singapore,4.6,5.895104895,5.725088339,5.623970037,5.689464741,5.421658986,5.895104895,5.776146789,5.64637224,5.693848858,5.795047785,0,5.847449471,5.864440263,5.878034682
9,2009,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",United States,7.1,5.981640261,7.055726092,6.984108639,7.017298415,6.988049194,5.96039886,7.041854831,6.980945122,7.00496555,7.136227618,5.916568047,7.104086202,7.089830508,6.711645379
21,2008,Dramas,United States,6.8,5.936641221,6.979382603,6.693032209,6.562245834,6.794374402,5.918040737,6.973781432,6.691812758,6.556475782,6.867850828,5.910703667,6.997119342,6.747093057,6.518837863
1920,2008,"Horror Movies, International Movies, Thrillers",India,6.4,5.904095904,6.177765843,6.109885932,5.840917108,6.233666001,5.904095904,6.166666667,6.10009995,5.825952813,5.934024896,0,5.927410208,5.891157703,5.908737864
Æon Flux,2005,"Action & Adventure, Sci-Fi & Fantasy",United States,5.5,5.8765286,5.432285142,5.407309942,5.709869233,5.405627145,5.875247525,5.440993687,5.310312291,5.711280316,5.806063178,5.90438247,5.9,5.7190096,5.9
3 Days to Kill,2014,Action & Adventure,"United States, France, Serbia",6.2,5.914145383,6.367096604,6.094931576,6.273065787,6.195213708,5.905440158,6.36089167,6.094245763,6.176810698,6.25951417,5.90438247,6.245631368,6.14266055,6.212804193
3 Deewarein,2003,"Dramas, International Movies, Thrillers",,7.8,0,6.271440064,7.053618282,5.977345731,7.085176825,0,6.248979592,7.00793934,5.925632084,6.182978723,0,5.930058939,6.081294964,5.971014493
3 Idiots,2009,"Comedies, Dramas, International Movies",India,8.4,6.549452954,8.673591383,8.177654283,7.082766706,8.387740952,6.433748056,8.668548161,8.173983961,7.061849097,8.23150294,6.004265403,8.437944901,8.040211199,6.6215311
30 Minutes or Less,2011,"Action & Adventure, Comedies",United States,6.1,5.896525097,6.187515605,6.095883334,5.811880718,6.097206392,5.89154519,6.185330073,6.095355102,5.813168291,5.990425124,5.90329013,6.053628565,5.983479266,5.858377116
7 Khoon Maaf,2011,"Dramas, International Movies, Thrillers",India,6.1,0,6.128399828,6.120424403,5.922839506,6.138284304,0,6.059221023,6.111634757,5.917830731,5.978861296,0,5.994097808,5.9,5.907149489
